nome,saldo
Alice,1234.56
Bruno,9876.54
Carla,5432.10
Daniel,2109.87
Elisa,7654.32
Felipe,3210.98
Gabriela,8765.43
Gustavo,4321.09
Helena,6543.21
Igor,9087.65
Joana,5678.90
João,1234.56
Karina,9876.54
Lucas,5432.10
Mariana,2109.87
Pedro,7654.32
Raquel,3210.98
Ricardo,8765.43
Sofia,4321.09
Tiago,6543.21
Valéria,9087.65
Vitor,5678.90
Wagner,1234.56
Xavier,9876.54
Yara,5432.10
Zilda,2109.87
Adão,7654.32
Beto,3210.98
Cecília,8765.43
David,4321.09
Eduarda,6543.21
Elias,9087.65
Fábio,5678.90
Fernanda,1234.56
Gabriel,9876.54
Heloísa,5432.10
Isabela,2109.87
Jonas,7654.32
Julia,3210.98
Léo,8765.43
Letícia,4321.09
Marcelo,6543.21
Natália,9087.65
Otávio,5678.90
Patrícia,1234.56
Paulo,9876.54
Priscila,5432.10
Rafael,2109.87
Renata,7654.32
Rodrigo,3210.98
Sara,8765.43
Sérgio,4321.09
Silvia,6543.21
Tadeu,9087.65
Tatiane,5678.90
Thaís,1234.56
Thales,9876.54
Vanessa,5432.10
Vivian,2109.87
Wellington,7654.32
Wesley,3210.98
Yasmin,8765.43
Yuri,4321.09
Zack,6543.21
Zélia,9087.65
Ágatha,5678.90
Ângelo,1234.56
Bárbara,9876.54
Caio,5432.10
Camila,2109.87
Carlos,7654.32
Clara,3210.98
Cristiano,8765.43
Daniela,4321.09
Diego,6543.21
Douglas,9087.65
Emanuel,5678.90
Erica,1234.56
Fernando,9876.54
Filipa,5432.10
Frederico,2109.87
Giovanni,7654.32
Guilherme,3210.98
Henrique,8765.43
Igor,4321.09
Ingrid,6543.21
Ivan,9087.65
Janaína,5678.90
Jeferson,1234.56
Jéssica,9876.54
Kátia,5432.10
Laura,2109.87
Lívia,7654.32
Luana,3210.98
Luis,8765.43
Manoel,4321.09
Márcia,6543.21
Marco,9087.65
Marta,5678.90
Matheus,1234.56
Maurício,9876.54
Mônica,5432.10
Natanael,2109.87
Noemi,7654.32
Norberto,3210.98
Olga,8765.43
Orlando,4321.09
Pablo,6543.21
Pamela,9087.65
