nome,saldo,dolar
Alice,1234.56,231.62
Bruno,9876.54,1853.01
Carla,5432.1,1019.16
Daniel,2109.87,395.85
Elisa,7654.32,1436.08
Felipe,3210.98,602.44
Gabriela,8765.43,1644.55
Gustavo,4321.09,810.71
Helena,6543.21,1227.62
Igor,9087.65,1705.0
Joana,5678.9,1065.46
João,1234.56,231.62
Karina,9876.54,1853.01
Lucas,5432.1,1019.16
Mariana,2109.87,395.85
Pedro,7654.32,1436.08
Raquel,3210.98,602.44
Ricardo,8765.43,1644.55
Sofia,4321.09,810.71
Tiago,6543.21,1227.62
Valéria,9087.65,1705.0
Vitor,5678.9,1065.46
Wagner,1234.56,231.62
Xavier,9876.54,1853.01
Yara,5432.1,1019.16
Zilda,2109.87,395.85
Adão,7654.32,1436.08
Beto,3210.98,602.44
Cecília,8765.43,1644.55
David,4321.09,810.71
Eduarda,6543.21,1227.62
Elias,9087.65,1705.0
Fábio,5678.9,1065.46
Fernanda,1234.56,231.62
Gabriel,9876.54,1853.01
Heloísa,5432.1,1019.16
Isabela,2109.87,395.85
Jonas,7654.32,1436.08
Julia,3210.98,602.44
Léo,8765.43,1644.55
Letícia,4321.09,810.71
Marcelo,6543.21,1227.62
Natália,9087.65,1705.0
Otávio,5678.9,1065.46
Patrícia,1234.56,231.62
Paulo,9876.54,1853.01
Priscila,5432.1,1019.16
Rafael,2109.87,395.85
Renata,7654.32,1436.08
Rodrigo,3210.98,602.44
Sara,8765.43,1644.55
Sérgio,4321.09,810.71
Silvia,6543.21,1227.62
Tadeu,9087.65,1705.0
Tatiane,5678.9,1065.46
Thaís,1234.56,231.62
Thales,9876.54,1853.01
Vanessa,5432.1,1019.16
Vivian,2109.87,395.85
Wellington,7654.32,1436.08
Wesley,3210.98,602.44
Yasmin,8765.43,1644.55
Yuri,4321.09,810.71
Zack,6543.21,1227.62
Zélia,9087.65,1705.0
Ágatha,5678.9,1065.46
Ângelo,1234.56,231.62
Bárbara,9876.54,1853.01
Caio,5432.1,1019.16
Camila,2109.87,395.85
Carlos,7654.32,1436.08
Clara,3210.98,602.44
Cristiano,8765.43,1644.55
Daniela,4321.09,810.71
Diego,6543.21,1227.62
Douglas,9087.65,1705.0
Emanuel,5678.9,1065.46
Erica,1234.56,231.62
Fernando,9876.54,1853.01
Filipa,5432.1,1019.16
Frederico,2109.87,395.85
Giovanni,7654.32,1436.08
Guilherme,3210.98,602.44
Henrique,8765.43,1644.55
Igor,4321.09,810.71
Ingrid,6543.21,1227.62
Ivan,9087.65,1705.0
Janaína,5678.9,1065.46
Jeferson,1234.56,231.62
Jéssica,9876.54,1853.01
Kátia,5432.1,1019.16
Laura,2109.87,395.85
Lívia,7654.32,1436.08
Luana,3210.98,602.44
Luis,8765.43,1644.55
Manoel,4321.09,810.71
Márcia,6543.21,1227.62
Marco,9087.65,1705.0
Marta,5678.9,1065.46
Matheus,1234.56,231.62
Maurício,9876.54,1853.01
Mônica,5432.1,1019.16
Natanael,2109.87,395.85
Noemi,7654.32,1436.08
Norberto,3210.98,602.44
Olga,8765.43,1644.55
Orlando,4321.09,810.71
Pablo,6543.21,1227.62
Pamela,9087.65,1705.0
